filename,l_min,l_max,b_min,b_max
GaiaSource_112701-113459_p.csv.gz,156.082,166.973,12.699,23.697
GaiaSource_113460-114328_p.csv.gz,150.318,162.621,14.778,26.316
GaiaSource_114329-116223_p.csv.gz,144.688,178.759,8.997,52.183
GaiaSource_116224-118619_p.csv.gz,148.546,170.965,30.98,49.024
GaiaSource_118620-121499_p.csv.gz,128.33,163.637,33.91,61.163
GaiaSource_121500-123646_p.csv.gz,126.251,162.623,24.648,61.189
GaiaSource_123647-125199_p.csv.gz,141.233,155.48,22.014,39.06
GaiaSource_125200-126263_p.csv.gz,141.501,153.061,18.631,30.598
GaiaSource_126264-127785_p.csv.gz,132.713,147.371,19.815,42.722
GaiaSource_127786-129587_p.csv.gz,124.485,142.39,24.924,44.191
GaiaSource_129588-131010_p.csv.gz,123.305,136.961,23.503,39.928
GaiaSource_131011-132722_p.csv.gz,7.174,207.001,-11.392,40.313
GaiaSource_132723-134879_p.csv.gz,9.489,348.403,45.407,68.151
GaiaSource_134880-136450_p.csv.gz,4.667,35.45,37.9,63.277
GaiaSource_136451-138123_p.csv.gz,16.629,42.912,37.81,61.023
GaiaSource_138124-140299_p.csv.gz,21.807,345.34,40.694,76.27
GaiaSource_140300-143213_p.csv.gz,16.578,340.361,57.542,81.391
GaiaSource_143214-145582_p.csv.gz,12.019,66.33,49.634,72.404
GaiaSource_145583-147785_p.csv.gz,15.681,78.882,35.262,69.345
GaiaSource_147786-148932_p.csv.gz,37.583,54.265,30.55,47.364
GaiaSource_148933-150327_p.csv.gz,39.352,59.053,32.601,52.284
GaiaSource_150328-151647_p.csv.gz,48.319,67.008,30.548,49.734
GaiaSource_151648-152645_p.csv.gz,52.997,67.743,26.863,39.265
GaiaSource_152646-153560_p.csv.gz,61.096,74.053,25.68,35.533
GaiaSource_153561-154811_p.csv.gz,57.692,75.371,25.279,43.173
GaiaSource_154812-156142_p.csv.gz,47.413,86.847,23.556,54.421
GaiaSource_156143-158209_p.csv.gz,52.193,80.201,42.865,59.451
GaiaSource_158210-160279_p.csv.gz,62.944,90.989,35.944,60.779
GaiaSource_160280-161702_p.csv.gz,71.88,89.647,27.716,45.535
GaiaSource_161703-163359_p.csv.gz,75.414,96.402,28.155,48.003
GaiaSource_163360-165788_p.csv.gz,45.279,329.642,19.805,81.505
GaiaSource_165789-169159_p.csv.gz,34.18,272.515,61.969,87.133
GaiaSource_169160-172467_p.csv.gz,46.481,175.08,54.116,85.168
GaiaSource_172468-176297_p.csv.gz,66.124,182.8,61.229,78.816
GaiaSource_176298-179861_p.csv.gz,89.698,149.744,52.051,69.519
GaiaSource_179862-182643_p.csv.gz,66.544,155.178,41.314,71.9
GaiaSource_182644-185173_p.csv.gz,78.518,112.486,36.919,62.568
